source,scenario,phase,row_kind,category,bucket_tokens,decode_batch,latency_ms,sample_count,peer_phase,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,provenance,valid_for_default,default_readiness
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,90,45,50.05980682373047,8,any_peer,50.05980682373047,50.10755157470703,50.01023864746094,50.108768463134766,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,94,47,48.62521553039551,8,any_peer,48.62521553039551,48.6778564453125,48.569759368896484,48.68092727661133,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,108,54,373.55377197265625,8,any_peer,373.55377197265625,681.5811767578125,65.52617645263672,681.58203125,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,138,47,65.14766693115234,8,any_peer,65.14766693115234,65.17884826660156,65.112060546875,65.17887878417969,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,163,55,65.42060852050781,8,any_peer,65.42060852050781,65.46963500976562,65.36991882324219,65.47007751464844,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,225,54,74.13452911376953,4,any_peer,74.13452911376953,74.13737487792969,74.12828826904297,74.13737487792969,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,226,54,74.05265426635742,4,any_peer,74.05265426635742,74.05363464355469,74.05072021484375,74.05363464355469,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,240,46,71.03324890136719,8,any_peer,71.03324890136719,71.08150482177734,70.98124694824219,71.0847396850586,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,312,53,87.68175888061523,4,any_peer,87.68175888061523,87.68339538574219,87.68067169189453,87.68339538574219,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,313,53,87.63846206665039,4,any_peer,87.63846206665039,87.64019012451172,87.63699340820312,87.64019012451172,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
