framework,version,device,model,topology,phase,row_kind,category,kernel_source,bucket_tokens,decode_batch,hidden_size,topk,moe_ep_size,quant_runtime,latency,provenance
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,829,49,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,424.8317184448242,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,852,54,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,195.10700225830078,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,853,54,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,194.70999908447266,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,854,47,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,159.39791107177734,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,855,47,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,159.00211334228516,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,900,46,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,183.03636932373047,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,901,46,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,183.0581283569336,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,1027,50,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,431.5847930908203,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,1588,47,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,246.7354507446289,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,1597,56,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,280.2584533691406,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,1600,47,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,249.28228759765625,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,1803,46,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,273.2944030761719,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,2017,44,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,232.56475067138672,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,2018,45,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,287.3419952392578,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,2401,55,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,386.92372131347656,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,3309,54,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,507.22711181640625,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,3495,46,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,473.9413757324219,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,3566,55,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,546.73681640625,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,3567,55,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,546.6893615722656,phase446_b2b_event_step_bucket_peer_tagged
VLLM,0.19.0,NVIDIA H200,kimi-k2.5,tp4dp2ep8,mixed_prefill,forward_total,forward_total,phase446_b2b_event_timing,6245,43,7168,8,8,CompressedTensorsWNA16MarlinMoEMethod,884.2842712402344,phase446_b2b_event_step_bucket_peer_tagged
