source,row_type,scenario,ctx_tokens,decode_batch,event_count,confidence,sim_charge_ms,event_forward_busy_median_ms,wall_elapsed_median_ms,busy_minus_sim_ms,wall_minus_busy_ms,busy_gap_share,wall_gap_share,mechanism_candidate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,1432,54,4,low,104.607978,766.768066,887.440000,662.160088,120.671934,0.845852,0.154148,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,1541,56,4,low,110.075512,201.223114,315.970000,91.147602,114.746886,0.442691,0.557309,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,2346,55,4,low,147.238184,812.229858,816.020000,664.991674,3.790142,0.994333,0.005667,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,2624,54,4,low,159.281380,288.742935,292.060000,129.461555,3.317065,0.975018,0.024982,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,3107,54,4,low,180.796102,519.956207,522.770000,339.160105,2.813793,0.991772,0.008228,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,3255,54,4,low,188.205666,519.962708,523.300000,331.757042,3.337292,0.990041,0.009959,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,3313,54,4,low,191.109414,338.810699,341.450000,147.701285,2.639301,0.982445,0.017555,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,3512,55,4,low,201.292389,883.991425,887.690000,682.699036,3.698575,0.994612,0.005388,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,3858,55,4,low,218.614748,381.710083,384.220000,163.095335,2.509917,0.984844,0.015156,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,6446,43,4,low,340.811418,1126.128662,1131.310000,785.317244,5.181338,0.993445,0.006555,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,6545,42,4,low,345.346094,1129.312317,1133.100000,783.966223,3.787683,0.995192,0.004808,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,6724,43,4,low,354.159399,1110.494873,1114.260000,756.335474,3.765127,0.995047,0.004953,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,6775,42,4,low,356.389388,1118.084595,1122.360000,761.695207,4.275405,0.994418,0.005582,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,6895,43,4,low,362.369848,1129.790405,1134.420000,767.420557,4.629595,0.994004,0.005996,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7235,48,4,low,379.788425,693.640381,696.550000,313.851956,2.909619,0.990814,0.009186,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7299,42,4,low,381.548891,1126.593445,1131.190000,745.044554,4.596555,0.993868,0.006132,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7945,55,8,low,415.409783,681.627930,685.485000,266.218147,3.857070,0.985719,0.014281,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7946,54,36,low,415.239056,678.592896,682.190000,263.353840,3.597104,0.986525,0.013475,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7947,53,40,low,415.068328,1131.628906,1134.730000,716.560578,3.101094,0.995691,0.004309,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7948,52,40,low,414.897601,1131.201477,1135.950000,716.303876,4.748523,0.993414,0.006586,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7949,51,40,low,414.726874,1131.987671,1136.775000,717.260797,4.787329,0.993370,0.006630,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7950,50,40,low,414.556146,1131.457214,1136.065000,716.901068,4.607786,0.993614,0.006386,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7951,49,40,low,414.385419,1131.245178,1136.160000,716.859759,4.914822,0.993191,0.006809,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7952,48,40,low,414.214692,1130.343506,1135.080000,716.128814,4.736494,0.993429,0.006571,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7953,47,48,low,414.043965,1130.187012,1135.425000,716.143047,5.237988,0.992739,0.007261,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7954,46,40,low,413.873237,1130.000183,1134.985000,716.126946,4.984817,0.993087,0.006913,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7955,45,44,low,413.702510,1129.062683,1133.760000,715.360173,4.697317,0.993476,0.006524,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7956,44,44,low,413.531783,1128.849426,1132.520000,715.317643,3.670574,0.994895,0.005105,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7957,43,264,high,413.361055,1131.437927,1136.110000,718.076872,4.672073,0.993536,0.006464,busy_over_sim,,,forward busy exceeds cb_sim charge; per-layer/kernel charge remains the next gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7958,42,556,high,413.190328,1131.170837,1135.840000,717.980509,4.669163,0.993539,0.006461,busy_over_sim,,,forward busy exceeds cb_sim charge; per-layer/kernel charge remains the next gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7959,41,408,high,413.019601,1131.856384,1136.245000,718.836783,4.388616,0.993932,0.006068,busy_over_sim,,,forward busy exceeds cb_sim charge; per-layer/kernel charge remains the next gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7960,40,8,low,412.848874,1123.982422,1130.330000,711.133548,6.347578,0.991153,0.008847,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7961,39,8,low,412.678146,1129.344421,1136.625000,716.666275,7.280579,0.989943,0.010057,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7962,38,8,low,412.507419,1127.235168,1131.570000,714.727749,4.334832,0.993972,0.006028,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7963,37,8,low,412.336692,1125.968140,1130.795000,713.631448,4.826860,0.993282,0.006718,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7964,36,8,low,412.165964,1127.922546,1132.620000,715.756582,4.697454,0.993480,0.006520,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7965,35,8,low,411.995237,1126.509338,1131.015000,714.514101,4.505662,0.993734,0.006266,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7966,34,8,low,1300.396314,1128.857605,1133.075000,-171.538709,4.217395,0.000000,1.000000,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7967,33,8,low,1027.915437,1125.326416,1129.490000,97.410979,4.163584,0.959010,0.040990,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
phase445_perlayer_prefill_recheck,bucket,K2.5-tp4ep8dp2-8k2k,7968,32,8,low,1211.514531,1135.137512,1139.935000,-76.377019,4.797488,0.000000,1.000000,low_confidence,,,sample count below Phase443 confidence gate,false,false,false,false,false,true,No-Go
