source,scenario,phase,category,bucket_tokens,decode_batch,hit,miss_reason,bucket_min,bucket_max,decode_batch_min,decode_batch_max,count
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,54,54,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,55,55,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,56,56,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,57,57,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,58,58,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,59,59,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,60,60,true,hit,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,61,61,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,62,62,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,63,63,false,interpolation_gap,2,64,2,64,2
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,64,64,true,hit,2,64,2,64,3
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,1,1,false,bucket_below_range,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,2,2,true,hit,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,3,3,false,interpolation_gap,2,64,2,64,1
