alignment_key,alignment_key_type,engine_step_id,dp_rank,source,scenario,iteration,phase,scheduled_context_tokens,scheduled_decode_tokens,scheduled_total_tokens,scheduled_context_reqs,scheduled_decode_reqs,scheduled_total_reqs,max_num_batched_tokens,max_num_seqs,forward_token_count,forward_regime,cudagraph_runtime_mode,topology_key,tp,dp,moe_tp,moe_ep,valid_for_default,perf_database,diagnostic_only
engine_dp:1:step:557,engine_core_dp_step,557,1,cb_sim_vllm_like,32000x1000_b16,557,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:558,engine_core_dp_step,558,1,cb_sim_vllm_like,32000x1000_b16,558,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:559,engine_core_dp_step,559,1,cb_sim_vllm_like,32000x1000_b16,559,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:560,engine_core_dp_step,560,1,cb_sim_vllm_like,32000x1000_b16,560,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:561,engine_core_dp_step,561,1,cb_sim_vllm_like,32000x1000_b16,561,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:562,engine_core_dp_step,562,1,cb_sim_vllm_like,32000x1000_b16,562,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:563,engine_core_dp_step,563,1,cb_sim_vllm_like,32000x1000_b16,563,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:564,engine_core_dp_step,564,1,cb_sim_vllm_like,32000x1000_b16,564,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:565,engine_core_dp_step,565,1,cb_sim_vllm_like,32000x1000_b16,565,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:566,engine_core_dp_step,566,1,cb_sim_vllm_like,32000x1000_b16,566,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:567,engine_core_dp_step,567,1,cb_sim_vllm_like,32000x1000_b16,567,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:568,engine_core_dp_step,568,1,cb_sim_vllm_like,32000x1000_b16,568,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:569,engine_core_dp_step,569,1,cb_sim_vllm_like,32000x1000_b16,569,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:570,engine_core_dp_step,570,1,cb_sim_vllm_like,32000x1000_b16,570,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:571,engine_core_dp_step,571,1,cb_sim_vllm_like,32000x1000_b16,571,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:572,engine_core_dp_step,572,1,cb_sim_vllm_like,32000x1000_b16,572,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:573,engine_core_dp_step,573,1,cb_sim_vllm_like,32000x1000_b16,573,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:574,engine_core_dp_step,574,1,cb_sim_vllm_like,32000x1000_b16,574,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:575,engine_core_dp_step,575,1,cb_sim_vllm_like,32000x1000_b16,575,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:576,engine_core_dp_step,576,1,cb_sim_vllm_like,32000x1000_b16,576,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:577,engine_core_dp_step,577,1,cb_sim_vllm_like,32000x1000_b16,577,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:578,engine_core_dp_step,578,1,cb_sim_vllm_like,32000x1000_b16,578,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:579,engine_core_dp_step,579,1,cb_sim_vllm_like,32000x1000_b16,579,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:580,engine_core_dp_step,580,1,cb_sim_vllm_like,32000x1000_b16,580,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:581,engine_core_dp_step,581,1,cb_sim_vllm_like,32000x1000_b16,581,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:582,engine_core_dp_step,582,1,cb_sim_vllm_like,32000x1000_b16,582,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:583,engine_core_dp_step,583,1,cb_sim_vllm_like,32000x1000_b16,583,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:584,engine_core_dp_step,584,1,cb_sim_vllm_like,32000x1000_b16,584,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:585,engine_core_dp_step,585,1,cb_sim_vllm_like,32000x1000_b16,585,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:586,engine_core_dp_step,586,1,cb_sim_vllm_like,32000x1000_b16,586,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:587,engine_core_dp_step,587,1,cb_sim_vllm_like,32000x1000_b16,587,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:588,engine_core_dp_step,588,1,cb_sim_vllm_like,32000x1000_b16,588,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:589,engine_core_dp_step,589,1,cb_sim_vllm_like,32000x1000_b16,589,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:590,engine_core_dp_step,590,1,cb_sim_vllm_like,32000x1000_b16,590,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:591,engine_core_dp_step,591,1,cb_sim_vllm_like,32000x1000_b16,591,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:592,engine_core_dp_step,592,1,cb_sim_vllm_like,32000x1000_b16,592,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:593,engine_core_dp_step,593,1,cb_sim_vllm_like,32000x1000_b16,593,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:594,engine_core_dp_step,594,1,cb_sim_vllm_like,32000x1000_b16,594,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:595,engine_core_dp_step,595,1,cb_sim_vllm_like,32000x1000_b16,595,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:596,engine_core_dp_step,596,1,cb_sim_vllm_like,32000x1000_b16,596,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:597,engine_core_dp_step,597,1,cb_sim_vllm_like,32000x1000_b16,597,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:598,engine_core_dp_step,598,1,cb_sim_vllm_like,32000x1000_b16,598,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:599,engine_core_dp_step,599,1,cb_sim_vllm_like,32000x1000_b16,599,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:600,engine_core_dp_step,600,1,cb_sim_vllm_like,32000x1000_b16,600,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:601,engine_core_dp_step,601,1,cb_sim_vllm_like,32000x1000_b16,601,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:602,engine_core_dp_step,602,1,cb_sim_vllm_like,32000x1000_b16,602,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
engine_dp:1:step:603,engine_core_dp_step,603,1,cb_sim_vllm_like,32000x1000_b16,603,pure_decode,0,8,8,0,8,8,8192,256,8,FULL:8,FULL,tp4dp2moetp1ep8,4,2,1,8,False,False,True
