source,row_type,scenario,artifact_dir,phase,row_kind,category,bucket_tokens,decode_batch,step_count,latency_ms,elapsed_ms_mean,attention_ms_mean,baseline_value,candidate_value,reconstruction_error_pct,reconstruction_gate,coverage_gate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,23,2,1086.833179,1126.025000,39.191821,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,24,2,1084.950700,1124.340000,39.389300,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,25,2,1086.358222,1125.945000,39.586778,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,26,2,1081.620743,1121.405000,39.784257,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,27,2,1084.923264,1124.905000,39.981736,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,28,2,1083.515786,1123.695000,40.179214,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,29,2,1083.308307,1123.685000,40.376693,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,30,2,1093.665829,1134.240000,40.574171,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,31,2,1095.278350,1136.050000,40.771650,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,32,2,1095.875872,1136.845000,40.969128,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,33,2,1085.323474,1126.490000,41.166526,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,34,2,1087.446076,1128.810000,41.363924,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,35,2,1084.938677,1126.500000,41.561323,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,36,2,1086.561279,1128.320000,41.758721,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,37,2,1085.023881,1126.980000,41.956119,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,38,2,1085.016483,1127.170000,42.153517,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
