scenario,section,dp_rank,phase_pair,bucket_tokens,decode_batch,count,busy_p50_ms,busy_p90_ms,decode_run_count,decode_run_max,decode_run_p50,decode_run_p90,decode_steps,metric,mixed_frequency,mixed_steps,share,target_high,target_low,tolerance,total_steps,wave_decode_batch_p50,wave_end_step,wave_mixed_steps,wave_prefill_tokens,wave_span_steps,wave_start_step
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,384,52,4,104.11164855957031,104.11369323730469,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,435,53,4,108.79152297973633,108.79657745361328,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,451,51,4,111.28800201416016,111.28921508789062,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,526,50,4,130.65127563476562,130.6527099609375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,574,52,4,130.72405242919922,130.74143981933594,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,621,49,4,148.76876831054688,148.7845458984375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,647,51,4,144.4968490600586,144.4978485107422,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,683,52,4,133.75628662109375,133.79624938964844,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,728,50,4,145.79157257080078,145.7960968017578,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,746,48,4,157.901123046875,157.91871643066406,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,829,49,4,144.8893814086914,144.91343688964844,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,852,54,4,195.10700225830078,195.10972595214844,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,854,47,4,159.39791107177734,159.4060821533203,,,,,,,,,0.0014492753623188406,,,,,,,,,,
