source,row_type,scenario,phase,category,bucket_tokens,decode_batch,metric,value,baseline_value,candidate_value,ratio,classification,window,reason,count,note
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,58,58,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,59,59,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,60,60,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,61,61,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,62,62,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,63,63,interpolation_gap,2,,,,miss,,,2,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,ep_a2a,64,64,hit,3,,,,hit,,,3,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,1,1,bucket_below_range,1,,,,miss,,,1,bucket_below_range
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,2,2,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,3,3,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,4,4,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,5,5,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,6,6,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,7,7,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,8,8,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,9,9,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,10,10,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,11,11,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,12,12,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,13,13,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,14,14,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,15,15,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,16,16,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,17,17,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,18,18,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,19,19,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,20,20,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,21,21,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,22,22,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,23,23,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,24,24,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,25,25,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,26,26,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,27,27,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,28,28,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,29,29,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,30,30,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,31,31,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,32,32,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,33,33,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,34,34,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,35,35,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,36,36,hit,1,,,,hit,,,1,hit
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,37,37,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,38,38,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,39,39,interpolation_gap,1,,,,miss,,,1,interpolation_gap
phase438_serving_state_merge,hit_audit,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,40,40,interpolation_gap,1,,,,miss,,,1,interpolation_gap
