alignment_key,alignment_key_type,dp_rank,scenario,phase,topology_key,cb_engine_step_id,cb_iter_index,cb_scheduled_context_tokens,cb_scheduled_decode_tokens,cb_scheduled_total_tokens,cb_scheduled_context_reqs,cb_scheduled_decode_reqs,cb_scheduled_total_reqs,cb_forward_token_count,cb_forward_regime,cb_cudagraph_runtime_mode,vllm_engine_step_id,vllm_iter_index,vllm_scheduled_context_tokens,vllm_scheduled_decode_tokens,vllm_scheduled_total_tokens,vllm_scheduled_context_reqs,vllm_scheduled_decode_reqs,vllm_scheduled_total_reqs,vllm_forward_token_count,vllm_forward_regime,vllm_cudagraph_runtime_mode,scheduled_context_token_delta,scheduled_decode_token_delta,scheduled_total_token_delta,scheduled_context_req_delta,scheduled_decode_req_delta,scheduled_total_req_delta,forward_token_delta,same_phase,same_topology_key,same_scheduled_total_tokens,same_scheduled_total_reqs,same_forward_token_count,same_forward_regime,same_cudagraph_runtime_mode,valid_for_default,perf_database,diagnostic_only
engine_dp:0:step:53,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,53,53,0,8,8,0,8,8,8,FULL:8,FULL,53,53,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:54,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,54,54,0,8,8,0,8,8,8,FULL:8,FULL,54,54,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:55,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,55,55,0,8,8,0,8,8,8,FULL:8,FULL,55,55,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:56,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,56,56,0,8,8,0,8,8,8,FULL:8,FULL,56,56,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:57,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,57,57,0,8,8,0,8,8,8,FULL:8,FULL,57,57,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:58,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,58,58,0,8,8,0,8,8,8,FULL:8,FULL,58,58,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:59,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,59,59,0,8,8,0,8,8,8,FULL:8,FULL,59,59,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:60,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,60,60,0,8,8,0,8,8,8,FULL:8,FULL,60,60,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:61,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,61,61,0,8,8,0,8,8,8,FULL:8,FULL,61,61,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:62,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,62,62,0,8,8,0,8,8,8,FULL:8,FULL,62,62,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:63,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,63,63,0,8,8,0,8,8,8,FULL:8,FULL,63,63,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:64,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,64,64,0,8,8,0,8,8,8,FULL:8,FULL,64,64,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:65,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,65,65,0,8,8,0,8,8,8,FULL:8,FULL,65,65,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:66,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,66,66,0,8,8,0,8,8,8,FULL:8,FULL,66,66,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
