scenario,entry_index,workload,total_ms,registered_charge_ms,valid_charge_ms,missing_source_charge_ms,unknown_source_charge_ms,unapproved_source_charge_ms,reconciliation_delta_ms,missing_details,unknown_details,unapproved_details,status
K2.5-tp8ep8-8k2k,67,"{""decode_batch_size"":66,""decode_kv_len"":8192,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":2146,""total_tokens"":2212}",125.0397504452605,125.0397504452605,125.0397504452605,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,68,"{""decode_batch_size"":67,""decode_kv_len"":8192,""prefill_batch_size"":0,""prefill_seq_len"":8000,""prefill_tokens"":0,""total_tokens"":67}",31.767128362498944,31.767128362498944,31.767128362498944,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,69,"{""decode_batch_size"":66,""decode_kv_len"":8192,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":7934,""total_tokens"":8000}",317.0315581401186,317.0315581401186,317.0315581401186,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,70,"{""decode_batch_size"":66,""decode_kv_len"":8192,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":66,""total_tokens"":132}",41.782103079562546,41.782103079562546,41.782103079562546,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,71,"{""decode_batch_size"":66,""decode_kv_len"":8192,""prefill_batch_size"":0,""prefill_seq_len"":8000,""prefill_tokens"":0,""total_tokens"":66}",31.51613487187757,31.51613487187757,31.51613487187757,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,72,"{""decode_batch_size"":66,""decode_kv_len"":8704,""prefill_batch_size"":0,""prefill_seq_len"":8000,""prefill_tokens"":0,""total_tokens"":66}",32.39690184524267,32.39690184524267,32.39690184524267,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,73,"{""decode_batch_size"":65,""decode_kv_len"":8704,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":7935,""total_tokens"":8000}",317.6965958805423,317.6965958805423,317.6965958805423,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,74,"{""decode_batch_size"":65,""decode_kv_len"":8704,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":65,""total_tokens"":130}",42.345555861096535,42.345555861096535,42.345555861096535,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,75,"{""decode_batch_size"":65,""decode_kv_len"":8704,""prefill_batch_size"":0,""prefill_seq_len"":8000,""prefill_tokens"":0,""total_tokens"":65}",32.13729305805443,32.13729305805443,32.13729305805443,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,76,"{""decode_batch_size"":64,""decode_kv_len"":8704,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":7936,""total_tokens"":8000}",317.4808666476009,317.4808666476009,317.4808666476009,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,77,"{""decode_batch_size"":64,""decode_kv_len"":8704,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":66,""total_tokens"":130}",42.13178888084696,42.13178888084696,42.13178888084696,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,78,"{""decode_batch_size"":64,""decode_kv_len"":8704,""prefill_batch_size"":0,""prefill_seq_len"":8000,""prefill_tokens"":0,""total_tokens"":64}",31.8776842708662,31.8776842708662,31.8776842708662,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,79,"{""decode_batch_size"":63,""decode_kv_len"":8704,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":7937,""total_tokens"":8000}",317.2577290005908,317.2577290005908,317.2577290005908,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,80,"{""decode_batch_size"":63,""decode_kv_len"":8704,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":68,""total_tokens"":131}",41.96238709231935,41.96238709231935,41.96238709231935,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,81,"{""decode_batch_size"":63,""decode_kv_len"":8704,""prefill_batch_size"":0,""prefill_seq_len"":8000,""prefill_tokens"":0,""total_tokens"":63}",31.573651232387085,31.573651232387085,31.573651232387085,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,82,"{""decode_batch_size"":62,""decode_kv_len"":8704,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":7938,""total_tokens"":8000}",317.03459135358065,317.03459135358065,317.03459135358065,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,83,"{""decode_batch_size"":62,""decode_kv_len"":8704,""prefill_batch_size"":1,""prefill_seq_len"":8000,""prefill_tokens"":73,""total_tokens"":135}",41.94830612116403,41.94830612116403,41.94830612116403,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,84,"{""decode_batch_size"":62,""decode_kv_len"":8704,""prefill_batch_size"":0,""prefill_seq_len"":8000,""prefill_tokens"":0,""total_tokens"":62}",31.310029471433094,31.310029471433094,31.310029471433094,0.0,0.0,0.0,0.0,[],[],[],PASS
K2.5-tp8ep8-8k2k,85,"{""decode_batch_size"":62,""decode_kv_len"":9216,""prefill_batch_size"":0,""prefill_seq_len"":8000,""prefill_tokens"":0,""total_tokens"":62}",32.148081829406934,32.148081829406934,32.148081829406934,0.0,0.0,0.0,0.0,[],[],[],PASS
